区域,SAMPLE ID,LATITUDE,LONGITUDE,LOC PREC,SR87_SR86,ΔSr,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,7NRHL,8NRHL,Δ7/4,Δ8/4,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,HE3_HE4_R_RA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,YB,LU,BA,NB,PB,RB,SR,TH,U,Y,ZR
SWIR,POLANT4-4-005-036,-52.28,13.68,0.01,0.70292,29.2,0.51302,18.769,15.56,38.623,15.5255596,38.318721,3.44404,30.4279,51.64,1.56,16.3,,,,7.98,,7.16,10.41,3.73,1.41,0.26,,,,,,,,,,,,,,,,,,,,,,,
SWIR,POLANT4-4-006-001,-52.33,13.15,0.01,0.70309,30.9,0.512951,18.867,15.572,38.822,15.5361828,38.437203,3.58172,38.4797,52.28,1.78,16.29,,,,7.82,0.11,6.59,10.11,3.66,0.89,0.3,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AGU0022-003-004,-52.294,18.046,0.001,0.70267,26.7,0.513048,18.968,15.551,38.767,15.5471312,38.559312,0.38688,20.7688,,,,,,,,,,,,,,,5.54,16,2.58,13.4,4.23,1.5,5.14,0.9,5.78,1.21,3.49,3.21,0.48,21.5,4.85,0.7,3.68,164,0.36,0.16,33,130
SWIR,AGU0022-001-001,-52.293,16.91,0.001,0.70248,24.8,0.513056,19.045,15.557,38.554,15.555478,38.652405,0.1522,-9.8405,,,,,,,,,,,,,,,,,,8.405,2.558,,,,,,,,,,,0.303,1.18,106.7,,,,
SWIR,POLANT4-4-002-001,-52.22,14.63,0.01,0.70338,33.8,0.512876,19.243,15.632,39.315,15.5769412,38.891787,5.50588,42.3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,POLANT4-4-003-014,-53.12,14.5,0.01,0.70352,35.2,0.512837,19.254,15.642,39.305,15.5781336,38.905086,6.38664,39.9914,51.3,1.93,16.01,,,,9.22,,5.36,7.95,5.03,1.47,0.45,,,,,,,,,,,,,,,,,,,,,,,
SWIR,LEROBOU-WJM-016B,-54.5,3.4,1,0.70376,37.6,0.512861,19.418,15.631,39.05,15.5959112,39.103362,3.50888,-5.3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,LEROBOU-WJM-002B,-54.5,3.4,1,0.7037,37,0.512865,19.479,15.65,39.086,15.6025236,39.177111,4.74764,-9.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,POLANT4-4-004-101,-52.1,14.12,0.01,0.70368,36.8,0.512852,19.564,15.649,39.157,15.6117376,39.279876,3.72624,-12.2876,49.77,3.82,14.21,,,,12.65,0.22,4.22,8.71,3.51,1.34,0.67,,,,,,,,,,,,,,,251,47,,22,433,,,41,296
SEIR,DUF0037-006-003,-38.957,78.158,0.001,0.70536,53.6,0.512605,17.777,15.549,38.509,15.4180268,37.119393,13.09732,138.9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEIR,PETDB-2871-ST PAUL-41,-38.72,77.55,0.01,0.704494,44.94,0.512757,18.06,15.519,38.55,15.448704,37.46154,7.0296,108.846,,,,,,,,,,,,,0.8,,19.6,57,,,,,,,,,,,,218,38.3,0.27,8.6,257,,0.05,41.6,337
SEIR,MELBMRG-6-R045B,-37.716,77.832,0.001,0.70456,45.6,0.51279,18.554,15.586,39.036,15.5022536,38.058786,8.37464,97.7214,50.8,2.11,14.09,,,,11.6,0.21,5.81,10.5,2.82,0.62,0.22,,16.6,36,,18,4.8,,,,5.4,,3.6,2.7,,,,0.224,,,,,,
SEIR,DUF0037-006-002,-38.978,78.138,0.001,0.70467,46.7,0.512821,18.039,15.555,38.636,15.4464276,37.436151,10.85724,119.9849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEIR,CHRHYAM-003-003,-37.52,78.43,0.01,0.70411,41.1,0.512822,18.738,15.576,39.009,15.5221992,38.281242,5.38008,72.7758,,,,,,,,,,,,,,,,,,23,5.9,,,,,,,,,,,,8.27,245.2,,,,
SEIR,MELBMRG-6-R044B,-37.721,77.825,0.001,0.70381,38.1,0.51284,19.139,15.618,39.472,15.5656676,38.766051,5.23324,70.5949,50.98,2.69,13.5,,,,13.3,0.2,4.59,9.22,3,0.78,0.31,,19.8,41.5,5.2,23.4,5.8,1.9,6.4,0.94,6.5,1.2,3.6,3.5,0.44,205,28,1.537,15.7,264,2.372,0.591,33,175
SEIR,CHRHYAM-002,-39.68,78.48,0.01,0.70405,40.5,0.512854,18.085,15.561,38.445,15.451414,37.491765,10.9586,95.3235,,,,,,,,,,,,,,,,,,14,4.18,,,,,,,,,,,,8.74,147.5,,,,
SEIR,MELWEST-10-114-012,-49.1163,105.588,0.00001,0.70351,35.1,0.512857,18.351,15.536,38.268,15.4802484,37.813359,5.57516,45.4641,,,,,,,,,,,,,,7.36,11.6,,,14.4,3.72,,,,,,,,,142,21.1,0.89,11.5,301,1.4,0.388,,
SEIR,MELBMRG-6-033-002,-42.115,88.042,0.001,0.70364,36.4,0.512889,17.97,15.501,37.979,15.438948,37.35273,6.2052,62.627,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,
